指标,企业单位数(个),亏损企业,工业总产值(当年价格),工业销售产值(当年价格),出口交货值,年初存货,产成品,资产总计,流动资产合计,应收账款,存货,产成品,固定资产合计,固定资产原价,累计折旧,本年折旧,负债合计,流动负债合计,应付账款,非流动负债合计,所有者权益合计,实收资本,国家资本,集体资本,法人资本,个人资本,外商资本,营业收入,主营业务收入,营业成本,主营业务成本,营业税金及附加,主营业务税金及附加,其他业务收入,其他业务利润,销售费用,管理费用,税金,财务费用,利息收入,利息支出,营业利润,资产减值损失,投资收益,营业外收入,补贴收入,营业外支出,利润总额,所得税费用,亏损企业亏损总额,利税总额,应交税金及附加,本年应付职工薪酬,本年应交增值税,总资产贡献率(%),资产负债率(%),流动资产周转率(次/年),产品销售率(%),从业人员平均人数,从业人员期末人数,平均用工人数,期末用工人数
总计,173,29,565.23,543.72,0.31,45.64,8.7,480.33,190.16,36.29,49.4,12.34,199.1,336.25,147.45,20.95,289.28,223.31,43.24,57.47,191.05,97.77,53.03,0.44,23.34,19.33,1.6,495.68,491.94,442.1,435.5,7.13,7.09,3.74,-0.79,12.39,24.52,1.37,8.19,0.36,6.78,2.03,0.67,1.34,3.4,0.75,4.85,0.58,3.82,20.69,23.31,27.93,36.21,15.61,6.19,60.23,2.61,96.71,5.4253,5.4534,4.9127,5.18
煤炭开采和洗选业,33,6,158.1,153.93,0,6,2.71,179.16,71.42,11.63,4.9,2.32,60.15,122.25,64.6,6.86,111.82,84.09,20.38,25.57,67.34,25.98,19.9,0.16,3.6,2.28,0.03,148.09,146.73,131.21,129.9,5.03,5,1.35,0.05,4.25,12.2,0.97,2.22,0.01,2.13,-5.77,0.2,1.25,0.6,0.38,4.16,-9.34,2.37,14.49,4.8,17.48,26.01,9.11,3.86,62.41,2.07,99.24,3.0592,3.021,2.5121,2.84
石油和天然气开采业,1,1,5,5.03,0,0.15,0.15,9.56,0.03,0,0.02,0.02,8.65,14.03,5.37,0,0.82,0,0,0,8.74,10.21,10.21,0,0,0,0,5.03,5.03,6.26,6.26,0.04,0.04,0,0,0.18,0.02,0,0,0,0,-1.47,0,0,0,0,0,-1.47,0,1.47,-1.43,0.04,0.07,0,-14.97,8.54,176.75,100.64,0.0158,0.0165,0.0158,0.02
非金属矿采选业,2,1,2.17,1.76,0,0,0,0.13,0.06,0.02,0.02,0,0,0,0,0,0.14,0,0,0,-0.01,0.06,0,0,0.03,0.03,0,1.67,1.67,1.62,1.62,0.02,0.02,0,0,0.04,0.04,0,0.01,0,0.01,-0.07,0,0,0,0,0,-0.07,0,0.07,-0.05,0.02,0.03,0,-31.17,109.06,26.37,81.07,0.008,0.008,0.0086,0
农副食品加工业,8,0,14.26,14.04,0,0.22,0.09,2.28,1.17,0.44,0.49,0.37,1.02,1.06,0.2,0.05,0.7,0.44,0.13,0.08,1.58,0.66,0,0,0.18,0.49,0,13.09,13.09,12.13,12.13,0.04,0.04,0,0,0.18,0.16,0.01,0.07,0,0.05,0.51,0,0,0,0,0,0.51,0.12,0,0.62,0.23,0.19,0.07,29.36,30.84,11.15,98.42,0.0751,0.0762,0.0712,0.07
食品制造业,4,0,3.23,3.22,0,0.42,0.09,4.42,2.07,0.24,0.34,0.04,1.54,1.93,0.68,0.09,0.84,0.61,0.23,0,3.57,1.63,0,0.05,0.01,0,1.57,3.54,3.51,2.38,2.36,0.06,0.06,0.04,0,0.16,0.26,0.02,-0.06,-0.07,0,0.75,0,0,0.02,0,0,0.76,0.13,0,1,0.38,0.21,0.18,24.15,19.1,1.71,99.84,0.0794,0.0927,0.0775,0.09
酒、饮料和精制茶制造业,5,0,9.16,8.99,0,1.01,0.56,5.72,2.64,0.32,1.08,0.7,2.36,2.75,0.43,0.14,1.58,1.12,0.13,0.46,4.14,2.59,0,0,2.39,0.2,0,8.17,8.17,7.29,7.29,0.44,0.44,0,0,0.1,0.11,0.01,0.03,0,0.02,0.19,0,0,0.01,0,0,0.21,0,0,0.73,0.53,0.12,0.08,13.19,27.65,3.1,98.05,0.0279,0.0281,0.0252,0.03
纺织业,2,1,9.17,8.71,0,0.16,0.05,1.94,1.15,0.22,0.15,0.13,0.42,6.59,6.19,0.79,1.19,0.76,0.06,0,0.75,0.31,0.1,0.09,0.06,0.07,0,7.79,7.39,7.65,7.25,0.03,0.02,0.4,0,0.01,0.06,0,0.08,0,0.06,-0.05,0,0,0,0,0,-0.05,0,0.05,0,0.05,0.23,0.02,3.01,61.39,6.78,94.9,0.111,0.1228,0.1042,0.11
纺织服装、服饰业,3,0,5.23,4.78,0.31,0.24,0.16,1.35,0.63,0.08,0.33,0.17,0.54,0.73,0.2,0.06,0.31,0.31,0.06,0,1.05,0.82,0.22,0,0,0.6,0,4.32,4.32,4.11,4.11,0,0,0,0,0.03,0.08,0,0.02,0,0,0.07,0,0,0,0,0,0.07,0.01,0,0.09,0.02,0.12,0.01,6.75,22.72,6.88,91.38,0.0477,0.0522,0.0477,0.05
木材加工和木、竹、藤、棕、草制品业,3,0,8.21,8.28,0,0.77,0.59,3.01,2.6,0.53,0.55,0.53,0.41,0.8,0.41,0.07,1.95,0.56,0.38,0.8,1.06,0.1,0,0,0,0.1,0,8.57,8.57,6.81,6.81,0.09,0.09,0,0,0.64,0.66,0.01,0.07,0,0.02,0.29,0,0,0,0,0,0.29,0.07,0,0.54,0.32,0.12,0.15,18.55,64.75,3.3,100.86,0.0253,0.0263,0.0263,0.03
家具制造业 ,1,0,3.25,3.25,0,0.05,0.04,0.61,0.35,0.07,0.07,0.06,0.21,0.26,0.05,0.01,0.17,0.11,0.04,0,0.44,0.3,0,0,0,0.3,0,3.03,3.03,2.93,2.93,0,0,0,0,0.02,0.01,0,0,0,0,0.06,0,0,0,0,0,0.06,0,0,0.07,0.01,0.06,0,11.54,27.87,8.66,100,0.009,0.009,0.009,0.01
造纸和纸制品业 ,3,0,1.95,1.9,0,0.14,0.04,2.3,0.74,0.19,0.22,0.09,0.52,0.54,0.13,0.03,1.06,0.36,0,0.58,1.23,0.44,0,0,0.24,0.2,0,1.79,1.79,1.36,1.36,0.01,0.01,0,0,0.06,0.06,0,0.03,0,0.03,0.26,0,0,0,0,0,0.26,0.06,0,0.29,0.09,0.05,0.02,13.57,46.32,2.42,97.24,0.0281,0.0283,0.0291,0.03
石油加工、炼焦和核燃料加工业 ,1,0,4.79,4.5,0,0.52,0,1.1,0.88,0.26,0.24,0.18,0.21,0.4,0.19,0.07,0.78,0.78,0,0,0.32,0.5,0,0,0,0.5,0,4.45,4.45,4.15,4.15,0,0,0,0,0.04,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,1.2,70.66,5.04,94.01,0.0067,0.0066,0.0067,0.01
