REDI,ZODI (State),ADI (District),Parroquia (Parrish),longitude ,latitude,71598,
Capital,Distrito Capital, Bolivariano Libertador, Altagracia ,-66.913326,10.529661,6897,
Capital,Distrito Capital, Bolivariano Libertador, Candelaria ,-66.905749,10.507363,27468,
Capital,Distrito Capital, Bolivariano Libertador, Ant��mano ,-66.991238,10.468405,72114,
Capital,Distrito Capital, Bolivariano Libertador, Caricuao ,-66.980676,10.425231,56092,
Capital,Distrito Capital, Bolivariano Libertador, Catedral ,-66.916652,10.506141,33851,
Capital,Distrito Capital, Bolivariano Libertador, Coche ,-66.937414,10.433643,32692,
Capital,Distrito Capital, Bolivariano Libertador, El Junquito ,-67.023942,10.495414,45271,
Capital,Distrito Capital, Bolivariano Libertador, EL Para��so ,-66.945623,10.485046,50555,
Capital,Distrito Capital, Bolivariano Libertador, El Recreo ,-66.877050,10.516952,26675,
Capital,Distrito Capital, Bolivariano Libertador, La Pastora ,-66.924506,10.531524,4313,
Capital,Distrito Capital, Bolivariano Libertador, El Valle ,-66.910156,10.443113,71642,
Capital,Distrito Capital, Bolivariano Libertador, La Vega ,-66.946651,10.462899,94993,
Capital,Distrito Capital, Bolivariano Libertador, San Agust��n ,-66.904766,10.496128,59475,
Capital,Distrito Capital, Bolivariano Libertador, Macarao ,-67.081919,10.423348,35636,
Capital,Distrito Capital, Bolivariano Libertador, San Bernardino ,-66.898770,10.528524,29308,
Capital,Distrito Capital, Bolivariano Libertador, San Jos�� ,-66.908990,10.530527,31600,
Capital,Distrito Capital, Bolivariano Libertador, San Juan ,-66.931698,10.497006,45719,
Capital,Distrito Capital, Bolivariano Libertador, San Pedro ,-66.893360,10.481005,11153,
Capital,Distrito Capital, Bolivariano Libertador, Santa Rosal��a ,-66.916638,10.483414,94838,
Capital,Distrito Capital, Bolivariano Libertador, Santa Teresa ,-66.916869,10.497499,31336,
Capital,Distrito Capital, Bolivariano Libertador, Sucre ,-66.965686,10.527971,4240,
Capital,Distrito Capital, Bolivariano Libertador, 23 de Enero ,-66.931192,10.506829,63349,
Capital, Miranda, Acevedo ,      Caucagua ,-66.402477,10.315113,72614,
Capital, Miranda, Acevedo ,      Arag��ita ,-66.453231,10.162730,39291,
Capital, Miranda, Acevedo ,      Ar��valo Gonz��lez ,-66.208050,10.265524,16079,
