公厕编号,公厕名称,公厕类型,所属分队,经度,维度,地址
1051020000194,展览中心西门,二类,北分队,116.447374,39.968576,北京市朝阳区西坝河中街21-2号
1051020000201,干杨树路西,二类,北分队,116.42188,39.99905,朝阳区北苑路208号
1051020000207,401总站东,二类,北分队,116.50208,39.969486,朝阳区洒仙桥路72号
1051020000212,团结湖绿化队旁,二类,南分队,116.47332,39.929924,朝阳区朝阳北路219号1楼
1051020000213,团结湖北里楼厕,二类,南分队,116.47482,39.93718,团结湖北三环210附近
1051020000217,垂杨柳中街楼厕,二类,南分队,116.46252,39.895855,朝阳区垂杨柳中街1号
1051020000235,工体南路东口烤鸭店旁,一类,南分队,116.45511,39.932472,朝阳区工人体育场南路59号
1051020000236,雅宝路东口路南,一类,南分队,116.44707,39.92125,朝阳区雅宝路2号
1051020000238,金台路北路西,一类,南分队,116.48432,39.92601,朝阳区金台路34号
1051020000239,蓝岛对面小公园内,一类,南分队,116.45733,39.927925,朝阳区东大桥46号
1051020000241,幸福一村垃圾楼旁,一类,北分队,116.454575,39.94115,幸福一村三巷
1051020000243,三里屯南街南口路西,一类,北分队,116.46184,39.93584,朝阳区南三里屯路65号
1051020000246,左家庄自由市场西,一类,北分队,116.45114,39.96355,朝阳区左家庄东街6号附近
1051020000251,新源里48局,一类,北分队,116.453824,39.953904,新源里社区11号楼附近
1051020000252,左家庄110总站,二类,北分队,116.45152,39.956773,朝阳区左家庄120总站
1051020000258,坝河西里10号楼,一类,北分队,116.4439,39.971207,西坝河西里小区十四楼旁
1051020000261,和平东街北口路西,一类,北分队,116.431015,39.974842,和平东桥南侧路西
1051020000268,外馆斜街41号西路南,一类,北分队,116.40539,39.96957,朝阳区安华西里外管斜接42号院甲1号
1051020000269,安华东里楼厕,一类,北分队,116.41222,39.973717,安华路北端（木偶剧院对面）
1051020000270,安华西里楼厕,一类,北分队,116.40329,39.97252,鼓楼外大街北端靠右
1051020000275,秀园小区楼厕,一类,北分队,116.41941,40.00419,朝阳区慧忠北里134号附近
1051020000278,土城公园内,一类,北分队,116.425774,39.983083,地铁惠新西街南口向东
1051020000282,元大都遗址公园3号,一类,北分队,116.40571,39.9831,朝阳区安外小关街甲38号
1051020000287,将台路口,一类,北分队,116.495964,39.979042,朝阳区酒仙桥路29号
1051020000302,八里庄南里楼厕,一类,南分队,116.506775,39.928864,朝阳区朝阳北路174号
1051020000306,红领巾公园西,一类,南分队,116.49779,39.931747,朝阳区朝阳北路211号
1051020000313,北内总厂北门西侧,一类,南分队,116.48069,39.906223,朝阳区百子湾路26号
1051020000317,劲松二区220楼北,一类,南分队,116.460434,39.891273,朝阳区劲松二区2号
1051020000319,劲松六区606楼对面,一类,南分队,116.4573,39.885822,朝阳区劲松⑤区公园附件
1051020000324,潘家园楼厕,一类,南分队,116.45765,39.87972,朝阳区潘家园华威路附近
1051020000327,松榆里商场对面路西,一类,南分队,116.47421,39.88117,朝阳区松榆里商场对面路西
1051020000330,垡头西里一区7楼西头,一类,南分队,116.51685,39.87339,朝阳区垡头街27号
1051020000333,垡头西里5号楼对面楼厕,一类,南分队,116.52046,39.87036,朝阳区化工路46号
1051020000341,劲松东延路,一类,南分队,116.48045,39.890476,朝阳区南磨房路29-2号
1051020000357,青年路北口,一类,北分队,116.52302,39.94621,姚家园路与青年路交叉口西南100米
1051020000433,三元里夏园,一类,北分队,116.46176,39.96013,三元里南小街1号楼西侧
1051020000471,育慧南路,一类,北分队,116.43736,39.98926,朝阳区文学管路43号
1051020000532,农展馆西门南,二类,北分队,116.468796,39.945217,朝阳区三里屯东街1号
1051020000595,民族园南,一类,北分队,116.399414,39.987576,朝阳区民族园里2-1号
1051020000596,民族园北,一类,北分队,116.39927,39.99065,朝阳区北辰路与民族园路交叉口
1051020000629,太阳宫垃圾楼旁,一类,北分队,116.44818,39.98177,阳光汽修右边
1051020000638,潘家园社区中心,一类,南分队,116.47614,39.88026,朝阳区武圣路14号附近
1051020000648,日坛公园西门,一类,南分队,116.44805,39.92041,朝阳区日坛路5号
1051020000676,百盛广场西侧,一类,北分队,116.44043,39.976725,北京市朝阳区北三环东路辅路
1051020000682,甘露园南里,一类,南分队,116.51982,39.92304,朝阳区朝阳天线路东50米
1051020000742,花园闸北里西,一类,南分队,116.55312,39.92187,朝阳区定福庄西街11号附近

